RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
128,Madagascar,4.34,4530,4148,2148,"0,670","0,645","0,378","0,202","0,143","0,154"
129,Egypt,4.29,4377,4198,"0,856",1.39,"0,732","0,548","0,469","0,041","0,254"
130,Chad,4.25,4503,3999,2419,"0,662","0,506","0,225","0,180","0,182","0,077"
131,Ethiopia,4.24,4365,4118,1375,"0,788","0,809","0,457","0,472","0,205","0,136"
132,Yemen,4.2,4384,4010,1561,"0,691",1.04,"0,384","0,330","0,090","0,098"
133,Mauritania,4.15,4356,3950,1207,1.1,"0,865","0,450","0,304","0,088","0,138"
134,Jordan,4.15,4276,4029,"0,695",1.32,"0,724","0,675","0,476","0,058","0,200"
135,Togo,4.11,4272,3953,2061,"0,771","0,322","0,360","0,292","0,174","0,132"
136,India,3.78,3828,3726,"0,795",1.17,"0,376","0,471","0,647","0,198","0,123"
137,Zambia,3.76,3902,3618,1135,"0,930","0,577","0,306","0,525","0,203","0,083"
138,Malawi,3.75,3941,3560,1661,"0,648","0,279","0,388","0,477","0,140","0,157"
139,Tanzania,3.7,3847,3558,"0,735","0,848","0,597","0,425","0,578","0,248","0,270"
140,Sierra Leone,3.57,3732,3416,1556,"0,686","0,416","0,273","0,387","0,202","0,055"
141,Lesotho,3.51,3748,3276,1312,"0,839","0,848","0,000","0,419","0,076","0,018"
142,Botswana,3.47,3667,3275,"0,187",1.5,"0,815","0,280","0,571","0,012","0,102"
143,Rwanda,3.27,3462,3074,"0,536","0,785","0,133","0,462","0,621","0,187","0,544"
144,Zimbabwe,3,3110,2880,"0,548","0,947","0,690","0,270","0,329","0,106","0,105"
145,Lebanon,2.96,3049,2862,"0,216",1.39,"0,498","0,631","0,103","0,082","0,034"
146,Afghanistan,2.4,2469,2339,1263,"0,758","0,000","0,289","0,000","0,089","0,005"
